Varenr.,Beskrivelse,GTIN
000-K12437,Side for avtrekkshette 960x320x16mm L.,5707438989376
000-K12438,"Bakplate 567,5 x 306,5 x 16mm",5707438989383
000-K12439,"Bakplate 567,5 x 466,5 x 16mm",5707438989390
000-K12440,"Bakplate 567,5 x 626,5 x 16mm",5707438989406
000-K12446,"Hylle for avtrekkshette 567,5 x 298,6 x 16mm",5707438989413
000-K12447,"Bakplate 567,5 x 786,5 x 16mm",5707438989420
000-K12449,Side for oppbevaringsplass 2080x74x16mm,5707439034303
000-K12450,"Tverrbjelke for lagringsplass 717,5 x 72 x 16mm",5714889006422
000-K12975,"topp for avtrekkshette 567,5 x 140,5 x 16mm",5707438989512
000-K13107,"Baktopp 578 x 2218 x 2,5 mm",5707438575203
000-K13108,"Baktopp 478 x 2218 x 2,5 mm",5707438575210
000-K13109,"Baktopp 378 x 2218 x 2,5 mm",5707438575227
000-K13110,"Baktopp 578 x 2058 x 2,5 mm",5707438033383
000-K13115,"Baktopp 478 x 2058 x 2,5 mm",5707438033390
000-K13120,"Baktopp 378 x 2058 x 2,5 mm",5707438033406
000-K13130,"Baktopp 578 x 1898 x 2,5 mm",5707438021311
000-K13135,"Baktopp 478 x 1898 x 2,5 mm",5707438033420
000-K13140,"Baktopp 378 x 1898 x 2,5 mm",5707438033437
000-K13160,"Baktopp 578 x 1258 x 2,5 mm",5707438046314
000-K13165,"Baktopp 478 x 1258 x 2,5 mm",5707438046321
000-K13170,"Baktopp 378 x 1258 x 2,5 mm",5707438021366
000-K13174,"Baktopp 1178 x 778 x 2,5 mm",5707438021380
000-K13175,"Baktopp 978 x 778 x 2,5 mm",5707438021397
000-K13180,"Baktopp 778 x 778 x 2,5 mm",5707438021403
000-K13185,"Baktopp 578 x 778 x 2,5 mm",5707438021410
000-K13190,"Baktopp 478 x 778 x 2,5 mm",5707438021427
000-K13195,"Baktopp 378 x 778 x 2,5 mm",5707438021434
000-K13210,"Baktopp 778 x 618 x 2,5 mm",5707438021458
000-K13215,"Baktopp 578 x 618 x 2,5 mm",5707438021465
000-K13220,"Baktopp 478 x 618 x 2,5 mm",5707438021472
000-K13225,"Baktopp 378 x 618 x 2,5 mm",5707438021489
000-K13230,"Baktopp 278 x 618 x 2,5 mm",5707438021496
000-K13247,"Baktopp 778 x 938 x 2,5 mm",5707438577634
000-K13248,"Baktopp 578 x 938 x 2,5 mm",5707438577641
000-K13249,"Baktopp 478 x 938 x 2,5 mm",5707438577658
000-K13250,"Baktopp 378 x 938 x 2,5 mm",5707438577665
000-K13260,"Baktopp 378 x 298 x 2,5 mm",5707438021526
000-K13265,"Baktopp 478 x 298 x 2,5 mm",5707438021533
000-K13270,"Baktopp 578 x 298 x 2,5 mm",5707438021540
000-K13272,"Baktopp 778 x 298 x 2,5 mm",5707438021557
000-K13309,Sinkstykke 120cm,5707438621603
000-K13310,Sinkstykke 100cm,5707438395757
000-K13315,Sinkstykke 80cm,5707438395627
000-K13320,Sinkstykke 60cm,5707438395658
000-K13325,Sinkstykke 50cm,5707438395689
000-K13330,Sinkstykke 40cm,5707438395719
000-K13335,Sinkstykke 30cm,5707438395740
000-K13415,Bakplate (90x90) 157 x 800 x 16mm,5707438093417
000-K13440,"topp for avtrekkshette 567,5 x 108 x 16mm",5707438541741
000-K13444,"Hylle for avtrekkshette 567,5 x 92 x 16mm",5707438541802
000-K13445,"Sokkel for avtrekkshette 567,5 x 95 x 16mm",5707438541819
000-K13448,"Hylle Hideaway 967,5 x 300 x 19 mm",5707438820082
000-K13507,"Bakplate 567,5 x 968 x 16mm",5707438580184
000-K13508,"Bakplate 567,5 x 961 x 16mm",5707438604903
000-K13509,"Bakplate 567,5 x 941 x 16mm",5707438970749
000-K13510,"Bakplate 567,5 x 808 x 16mm",5707438033567
000-K13515,"Bakplate 567,5 x 648 x 16mm",5707438021748
000-K13520,"Bakplate 567,5 x 488 x 16mm",5707438021762
000-K13521,"Bakplate 567,5 x 801 x 16mm",5707438572844
000-K13525,"Bakplate 567,5 x 328 x 16mm",5707438021786
000-K13526,"Bakplate 567,5 x 225,5 x 16mm",5707438971043
000-K13532,"Bakplate 567,5 x 320 x 16mm",5707438063885
000-K13535,"Bakplate 567,5 x 168 x 16mm",5707438033574
000-K13536,"Bakplate 567,5 x 641 x 16mm",5707438564382
000-K13538,"Bakplate 567,5 x 481 x 16mm",5707438564405
000-K13539,"Bakplate 567,5 x 164 x 16mm",5707438970664
000-K13540,"Bakplate 567,5 x 304 x 16mm",5707438957825
000-K13544,"Bakplate 567,5 x 567,5 x 16mm",5707438957863
000-K13545,"Bakplate 567,5 x 631 x 16mm",5707438957870
000-K13546,"Bakplate 567,5 x 781 x 16mm",5707438957887
000-K13547,"Bakplate 567,5 x 816 x 16mm",5707438957894
000-K13548,"Bakplate 567,5 x 1128 x 16mm",5707438957900
000-K13549,"Bakplate 567,5 x 385,5 x 16mm",5707438971050
000-K13550,"Bakplate 567,5 x 456,5 x 16mm",5707438971067
000-K13551,"Bakplate 567,5 x 545,5 x 16mm",5707438971074
000-K13552,"Bakplate 567,5 x 705,5 x 16mm",5707438971081
000-K13553,"Bakplate 567,5 x 152 x 16mm",5714889008402
000-K13580,Bakplate for avtrekkshette 567 x 767 x 10mm,5707439006638
000-K13581,Bakplate for avtrekkshette 767 x 767 x 10mm,5707439006645
000-K13582,Bakplate for avtrekkshette 967 x 767 x 10mm,5707439006652
000-K13583,Bakplate for avtrekkshette 1167 x 767 x 10mm,5707439006669
000-K31105,"Bunn og topp 1167,5 x 686,6 x 16 mm",5707438109392
000-K31110,"Bunn og topp 967,5 x 686,6 x 16 mm",5707438109408
000-K31115,"Bunn og topp 767,5 x 686,6 x 16 mm",5707438109415
000-K31120,"Bunn og topp 567,5 x 686,6 x 16 mm",5707438109422
000-K31125,"Bunn og topp 467,5 x 686,6 x 16 mm",5707438109439
000-K31130,"Bunn og topp 367,5 x 686,6 x 16 mm",5707438109446
000-K61100,"Bunn og topp 967,5 x 510,6 x 16 mm",5707438742223
000-K61105,"Bunn og topp 1167,5 x 510,6 x 16 mm",5707438109217
000-K61110,"Bunn og topp 767,5 x 510,6 x 16 mm",5707438061324
000-K61115,"Bunn og topp 567,5 x 510,6 x 16 mm",5707438033628
000-K61117,"Bunn og topp 467,5 x 510,6 x 16 mm",5707439046597
000-K61120,"Bunn og topp 367,5 x 510,6 x 16 mm",5707438175335
000-K62115,"Planke 567 x 489,6 x 16mm",5707438175496
000-K62117,"Planke 467 x 489,6 x 16mm",5707439046603
000-K62120,"Planke 367 x 489,6 x 16mm",5707438175342
000-K62140,"Planke 767 x 170,6 x 16 mm",5707438152206
000-K62143,"Planke 567 x 170,6 x 16mm",5707438152213
000-K62144,"Planke 467 x 170,6 x 16 mm",5707438742216
000-K62145,"Planke 367 x 170,6 x 16 mm",5707438191113
000-K71105,"Bunn og topp 1167,5 x 558,6 x 16 mm",5707438419088
000-K71110,"Bunn og topp 967,5 x 558,6 x 16 mm",5707438419095
000-K71115,"Bunn og topp 767,5 x 558,6 x 16 mm",5707438419101
000-K71120,"Bunn og topp 567,5 x 558,6 x 16 mm",5707438419118
000-K71125,"Bunn og topp 467,5 x 558,6 x 16 mm",5707438419125
000-K71130,"Bunn og topp 367,5 x 558,6 x 16 mm",5707438419132
000-K71135,"Bunn og topp 267,5 x 558,6 x 16 mm",5707438419149
000-K71138,"Bunn og topp 167,5 x 558,6 x 16 mm",5707438563880
000-K71145,"Bunn og topp (90x90) 884 x 558,6 x 16mm",5707438419156
000-K71150,"Bunn og topp (90x90) 325,4 x 558,6 x 16 mm",5707438419163
000-K71155,"Sokkel og lokk til kjøleskap 567,5 x 515 x 16mm",5707438419170
000-K71160,"Sokkel og lokk til kjøleskap 600,5 x 515 x 16mm",5707438419187
000-K71165,"Sokkel og lokk til kjøleskap 717,5 x 515 x 16mm",5707439068223
000-KH03230,"Bunn og topp 267,5 x 318,6 x 16 mm",5707438071996
000-KS03256,Side 320x560x16mm,5707438072733
000-OS4832,Korpus pakke 2 sider 480 x 320mm,5707438274649
000-OS6432,Korpus pakke 2 sider 640 x 320mm,5707438274656
000-US4851,Korpus pakke 2 sider 480 x 512mm,5707438244635
000-US6451,Korpus pakke 2 sider 640 x 512mm,5707438244642
000-WD19-080,Korpus pakkedeler V19 80cm,5707438796639
000-WEC21652,Side 2164 x 520 x 19 mm,5707438818744
000-WEC23252,Side 2324 x 520 x 19 mm,5707438818775
000-WFP105219,Korpus pakke topp/bunn/list FLEX,5707438819116
000-WFS105219,Korpuspakke 1 planke FLEX 19mm.,5707438819154
000-WSC21652,Sidehullet 2164 x 520 x 19mm,5707438819314
000-WSC23252,Sidehullet 2324 x 520 x 19mm,5707438819345
000-WSP1005219,Korpus pakke 2 planker (19mm) 100cm,5707438991409
000-WSP405219,Korpus pakke 2 planker (19mm) 40cm,5707438818652
000-WSP605219,Korpus pakke 2 planker (19mm) 60cm,5707438818683
000-WSP805219,Korpus pakke 2 planker (19mm) 80cm,5707438818713
000-WTB19-040,Korpus pakke topp/bunn/list 40cm,5707438796660
000-WTB19-060,Korpus pakke topp/bunn/list 60cm,5707438796691
000-WTB19-080,Korpus pakke topp/bunn/list 80cm,5707438796721
000-WTB19-100,Korpus pakke topp/bunn/list 100cm,5707438991416
019-T32128,Ende sokkel 120 x 952mm Aluminium,5707438109767
020-K20019,Panel 2200 x 714 x 19 mm,5707439019669
042-DH191-060,Høyskap for Vitrinedører 60 x 56cm,5707439005693
042-K10031,Panel 920 x 586 x 19 mm,5707439019850
042-K10033,Panel 920 x 714 x 19 mm,5707439019867
042-K10036,Panel 920 x 932 x 19 mm,5707439019874
042-K10037,Panel 920 x 1060 x 19 mm,5707439019881
042-K10038,Panel 920 x 1172 x 19 mm,5707439019898
042-K10052,Panel 920 x 606 x 19 mm,5707439019904
042-K10054,Panel 920 x 734 x 19 mm,5707439019911
042-K10109,Synlig side 2080x688x16mm,5707438876768
042-K10110,Synlig side 2080x560x16mm,5707438876775
042-K10119,Synlig side 1920x688x16mm,5707438876782
042-K10120,Synlig side 1920x560x16mm,5707438876799
042-K10125,Synlig side 1920x320x16mm,5707438876805
042-K10127,Synlig side 2080x320x16mm,5707439046641
042-K10130,Synlig side 1280x560x16mm,5707438876812
042-K10131,Synlig side 1280x320x16mm,5707438876829
042-K10135,Synlig side 800x560x16mm,5707438876584
042-K10136,Synlig side 800x688x16mm,5707438876607
042-K10137,Synlig side for øyløsning 800x1120x16mm,5707438876614
042-K10138,Synlig side for øyløsning 800x880x16mm,5707438876621
042-K10139,Synlig side for øyløsning 800x1008x16mm,5707438876638
042-K10145,Synlig side 800x320x16mm,5707438876645
042-K10147,Synlig side 780x600x19mm,5707438975898
042-K10170,Synlig side 640x320x16mm,5707438876669
042-K10321,Synlig side 320x320x16mm,5707438876676
042-K10700,Panel 320 x 344 x 10 mm,5707438972316
042-K10701,Panel 640 x 344 x 10 mm,5707438972323
042-K10702,Panel 800 x 344 x 10 mm,5707438972330
042-K10703,Panel 677 x 368 x 10 mm,5707438972347
042-K10704,Panel 920 x 368 x 10 mm,5707438972354
042-K10705,Panel 2200 x 584 x 10 mm,5707438972408
042-K10706,Panel 2200 x 712 x 10 mm,5707438972415
042-K10920,Panel 920 x 584 x 10 mm,5707438971531
042-K10921,Panel 920 x 607 x 10 mm,5707438971548
042-K10922,Panel 920 x 712 x 10 mm,5707438971555
042-K10923,Panel 920 x 735 x 10 mm,5707438971562
042-K10924,Panel 920 x 927 x 10 mm,5707438971579
042-K10925,Panel 920 x 952 x 10 mm,5707438971586
042-K10926,Panel 920 x 1055 x 10 mm,5707438971593
042-K10927,Panel 920 x 1079 x 10 mm,5707438971609
042-K10928,Panel 920 x 1167 x 10 mm,5707438971616
042-K60122,Synlig side 640x192x16mm,5707438876935
042-K60125,Synlig side 640x512x16mm,5707438876942
042-K60148,Synlig side 480x512x16mm,5707438876959
042-K60150,Synlig side 480x320x16mm,5707438876683
042-SG26085,Panel for Lineært lys 2600 x 800 x 19mm,5707439058293
042-T11074,Dekksett PRATO,5707438972484
042-T11080,Dekke 800 x 100 mm,5707438876980
042-T11192,topp 1920 x 100 mm,5707438876997
042-T11208,topp 2080 x 100 mm,5707438877000
042-T12124,Sokkel forstykke 120 x 2590mm Sort,5707438878809
042-T12132,Sokkelforstykke 254 x 2590mm Sort,5707438878847
050-K10107,Synlig side 2240x560x16mm,5707438610188
050-K10109,Synlig side 2080x688x16mm,5707438610195
050-K10110,Synlig side 2080x560x16mm,5707438610201
050-K10119,Synlig side 1920x688x16mm,5707438610218
050-K10120,Synlig side 1920x560x16mm,5707438610300
050-K10125,Synlig side 1920x320x16mm,5707438610225
050-K10127,Synlig side 2080x320x16mm,5707439046665
050-K10130,Synlig side 1280x560x16mm,5707438610232
050-K10131,Synlig side 1280x320x16mm,5707438610249
050-K10135,Synlig side 800x560x16mm,5707438610317
050-K10136,Synlig side 800x688x16mm,5707438610256
050-K10137,Synlig side for øyløsning 800x1120x16mm,5707438610263
050-K10138,Synlig side for øyløsning 800x880x16mm,5707438610270
050-K10139,Synlig side for øyløsning 800x1008x16mm,5707438709073
050-K10144,Synlig side 960x320x16mm,5707438610287
050-K10145,Synlig side 800x320x16mm,5707438610324
050-K10170,Synlig side 640x320x16mm,5707438610331
050-K10321,Synlig side 320x320x16mm,5707438610348
050-K60122,Synlig side 640x192x16mm,5707438610355
050-K60125,Synlig side 640x512x16mm,5707438610362
050-K60148,Synlig side 480x512x16mm,5707438610379
050-K60150,Synlig side 480x320x16mm,5707438610386
050-K61145,"Bunn og topp 367,5 x 190,6 x 16 mm",5707438621252
050-K61155,"Bunn og topp 467,5 x 190,6 x 16 mm",5707438742230
050-K61160,"Bunn og topp 567,5 x 190,6 x 16 mm",5707438622877
050-K61180,"Bunn og topp 767,5 x 190,6 x 16 mm",5707438622853
050-T11080,Dekke 800 x 100 mm,5707438612762
050-T11096,topp 960 x 100 mm,5707438612779
050-T11192,topp 1920 x 100 mm,5707438612793
050-T11208,topp 2080 x 100 mm,5707438612816
050-T11224,topp 2240 x 100mm,5707438612823
050-T12122,Endeliste 120 x 532mm Hvit,5707438579539
050-T12124,Sokkelforstykke 120 x 2590mm Hvit,5707438579546
050-T12127,Endeliste 120 x 1064mm Hvit,5707438579553
050-T12128,Endeliste 120 x 824mm Hvit,5707438579560
050-T12132,Sokkelforstykke 254 x 2590mm Hvit,5707438968708
050-T12133,Oppbevaringsplass gulvlist frontstykke 120 x 610mm Hvit,5707439042759
050-T12134,Oppbevaringsplass gulvlister forstykke 120 x 760mm Hvit,5714889006453
050-T32122,Endeliste 120 x 658mm Hvit,5707438579843
050-T32128,Endeliste 120 x 952mm Hvit,5707438709219
054-DH191-060,Høyskap for Vitrinedører 60 x 56cm,5707439005655
054-K10107,Synlig side 2240x560x16mm,5707438867469
054-K10109,Synlig side 2080x688x16mm,5707438867476
054-K10110,Synlig side 2080x560x16mm,5707438867483
054-K10119,Synlig side 1920x688x16mm,5707438867490
054-K10120,Synlig side 1920x560x16mm,5707438867506
054-K10125,Synlig side 1920x320x16mm,5707438867513
054-K10127,Synlig side 2080x320x16mm,5707439046689
054-K10130,Synlig side 1280x560x16mm,5707438867520
054-K10131,Synlig side 1280x320x16mm,5707438867537
054-K10135,Synlig side 800x560x16mm,5707438850195
054-K10136,Synlig side 800x688x16mm,5707438850218
054-K10137,Synlig side for øyløsning 800x1120x16mm,5707438850232
054-K10138,Synlig side for øyløsning 800x880x16mm,5707438850256
054-K10139,Synlig side for øyløsning 800x1008x16mm,5707438850270
054-K10144,Synlig side 960x320x16mm,5707438850294
054-K10145,Synlig side 800x320x16mm,5707438850317
054-K10146,Synlig side for hjørneskap 796x600x19mm,5707438968463
054-K10147,Synlig side 780x600x22mm,5707438974532
054-K10170,Synlig side 640x320x16mm,5707438850355
054-K10321,Synlig side 320x320x16mm,5707438850379
054-K10703,Panel 677 x 368 x 10 mm,5707438967435
054-K10800,Avrundet stolpe R100 x 800mm,5707439071919
054-K20001,Panel 940 x 586 x 19 mm,5707439011991
054-K20002,Panel 940 x 606 x 19 mm,5707439012004
054-K20003,Panel 940 x 714 x 19 mm,5707439012011
054-K20004,Panel 940 x 734 x 19 mm,5707439012028
054-K20005,Panel 940 x 932 x 19 mm,5707439012035
054-K20006,Panel 940 x 1060 x 19 mm,5707439012042
054-K20007,Panel 940 x 1172 x 19 mm,5707439012059
054-K20008,Panel 320 x 346 x 19 mm,5707439012066
054-K20009,Panel 480 x 346 x 19 mm,5707439012073
054-K20010,Panel 640 x 346 x 19 mm,5707439012080
054-K20011,Panel 800 x 346 x 19 mm,5707439012097
054-K20012,Panel 960 x 346 x 19 mm,5707439012103
054-K20014,Panel 1400 x 586 x 19 mm,5707439012127
054-K20015,Panel 2040 x 586 x 19 mm,5707439012134
054-K20016,Panel 2200 x 586 x 19 mm,5707439012141
054-K20017,Panel 2360 x 586 x 19 mm,5707439012158
054-K20018,Panel 2040 x 714 x 19 mm,5707439012165
054-K20019,Panel 2200 x 714 x 19 mm,5707439012172
054-K20020,Panel 1280 x 586 x 19 mm,5707439012189
054-K20021,Panel 1920 x 586 x 19 mm,5707439012196
054-K20022,Panel 2080 x 586 x 19 mm,5707439012202
